transactionid,date,customerid,gender,productname,category,subcategory,region,quantity,unitprice,costprice,discount,revenue,cost,profit
T02164,04-01-2024,C017,F,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.1,1506.321,1323.38,182.941
T02001,07-08-2024,C037,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T01973,22-07-2024,C015,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T01917,09-06-2025,C195,F,Like Camera,Electronics,Camera,North,2,1673.69,1323.38,0.05,3180.011,2646.76,533.251
T01760,03-07-2024,C033,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.05,3180.011,2646.76,533.251
T01746,22-03-2025,C171,M,Like Camera,Electronics,Camera,North,1,1673.69,1323.38,0.1,1506.321,1323.38,182.941
T01706,28-05-2025,C100,F,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.05,3180.011,2646.76,533.251
T01659,09-02-2024,C026,M,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T01643,21-01-2024,C080,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.1,4518.963,3970.14,548.823
T01409,25-08-2025,C085,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0.05,6360.022,5293.52,1066.502
T01340,24-01-2025,C042,F,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T01335,05-07-2024,C051,F,Like Camera,Electronics,Camera,South,1,1673.69,1323.38,0,1673.69,1323.38,350.31
T01317,11-05-2024,C161,M,Like Camera,Electronics,Camera,North,1,1673.69,1323.38,0.1,1506.321,1323.38,182.941
T01288,14-10-2023,C067,M,Like Camera,Electronics,Camera,West,2,1673.69,1323.38,0.05,3180.011,2646.76,533.251
T01283,14-12-2023,C067,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0.1,6025.284,5293.52,731.764
T01218,21-05-2025,C052,F,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T01181,17-12-2023,C188,M,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.1,3012.642,2646.76,365.882
T01043,01-05-2024,C048,M,Like Camera,Electronics,Camera,North,4,1673.69,1323.38,0.15,5690.546,5293.52,397.026
T01042,19-10-2024,C035,F,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T01030,10-12-2023,C023,F,Like Camera,Electronics,Camera,North,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T01023,10-07-2024,C081,F,Like Camera,Electronics,Camera,North,5,1673.69,1323.38,0,8368.45,6616.9,1751.55
T01011,21-04-2024,C044,M,Like Camera,Electronics,Camera,West,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T00980,12-12-2024,C192,M,Like Camera,Electronics,Camera,South,5,1673.69,1323.38,0.1,7531.605,6616.9,914.705
T00929,20-07-2024,C075,M,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T00926,10-11-2024,C003,F,Like Camera,Electronics,Camera,South,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T00913,17-03-2025,C043,M,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.05,1590.0055,1323.38,266.6255
T00905,28-04-2025,C148,F,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T00885,27-09-2024,C096,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T00824,01-06-2025,C097,M,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T00818,08-11-2024,C092,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T00721,24-06-2024,C157,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T00712,03-02-2024,C076,M,Like Camera,Electronics,Camera,West,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T00701,01-10-2023,C032,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T00670,10-11-2024,C154,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.05,4770.0165,3970.14,799.8765
T00522,23-12-2023,C029,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T00423,06-12-2023,C155,M,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T00394,07-05-2024,C026,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.05,4770.0165,3970.14,799.8765
T00306,17-10-2024,C103,F,Like Camera,Electronics,Camera,South,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T00290,07-10-2024,C161,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.1,4518.963,3970.14,548.823
T00289,25-05-2024,C197,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T00126,21-10-2023,C006,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T00054,29-01-2024,C166,F,Like Camera,Electronics,Camera,North,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T00039,13-10-2024,C200,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T04969,21-04-2024,C001,M,Audience Television,Electronics,Television,North,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T04918,14-10-2024,C179,F,Audience Television,Electronics,Television,East,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T04897,10-03-2025,C009,F,Audience Television,Electronics,Television,West,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T04882,02-11-2024,C151,M,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T04868,15-05-2024,C081,F,Audience Television,Electronics,Television,South,1,818.76,527.62,0.15,695.946,527.62,168.326
T04865,12-09-2023,C080,F,Audience Television,Electronics,Television,West,4,818.76,527.62,0.1,2947.536,2110.48,837.056
T04778,21-06-2024,C157,M,Audience Television,Electronics,Television,West,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T04673,02-03-2025,C122,M,Audience Television,Electronics,Television,West,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T04526,15-03-2024,C039,F,Audience Television,Electronics,Television,South,3,818.76,527.62,0.15,2087.838,1582.86,504.978
T04522,07-03-2025,C106,F,Audience Television,Electronics,Television,South,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T04504,17-05-2025,C052,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T04496,10-01-2024,C076,M,Audience Television,Electronics,Television,South,2,818.76,527.62,0,1637.52,1055.24,582.28
T04492,15-02-2024,C136,M,Audience Television,Electronics,Television,West,5,818.76,527.62,0,4093.8,2638.1,1455.7
T04405,18-10-2023,C090,M,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T04387,13-07-2024,C172,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0,4093.8,2638.1,1455.7
T04305,15-07-2024,C180,F,Audience Television,Electronics,Television,East,1,818.76,527.62,0,818.76,527.62,291.14
T04227,13-11-2024,C121,M,Audience Television,Electronics,Television,East,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T04217,04-12-2024,C080,F,Audience Television,Electronics,Television,West,2,818.76,527.62,0,1637.52,1055.24,582.28
T04216,06-05-2024,C068,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0,4093.8,2638.1,1455.7
T04174,26-06-2025,C099,M,Audience Television,Electronics,Television,North,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T04160,20-10-2023,C193,F,Audience Television,Electronics,Television,West,2,818.76,527.62,0,1637.52,1055.24,582.28
T04057,03-04-2025,C171,M,Audience Television,Electronics,Television,North,3,818.76,527.62,0.1,2210.652,1582.86,627.792
T03924,07-01-2025,C102,F,Audience Television,Electronics,Television,East,4,818.76,527.62,0,3275.04,2110.48,1164.56
T03821,16-04-2024,C017,F,Audience Television,Electronics,Television,East,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T03744,27-06-2024,C179,F,Audience Television,Electronics,Television,East,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T03700,25-12-2023,C067,M,Audience Television,Electronics,Television,West,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T03600,12-03-2024,C157,M,Audience Television,Electronics,Television,South,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T03575,21-03-2025,C074,F,Audience Television,Electronics,Television,East,1,818.76,527.62,0.05,777.822,527.62,250.202
T03570,30-08-2024,C134,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T03551,25-07-2025,C198,M,Audience Television,Electronics,Television,South,1,818.76,527.62,0.1,736.884,527.62,209.264
T03549,30-09-2024,C110,F,Audience Television,Electronics,Television,North,3,818.76,527.62,0,2456.28,1582.86,873.42
T03399,10-11-2023,C062,M,Audience Television,Electronics,Television,East,1,818.76,527.62,0.05,777.822,527.62,250.202
T03397,20-12-2024,C027,M,Audience Television,Electronics,Television,South,1,818.76,527.62,0.15,695.946,527.62,168.326
T03361,11-04-2025,C140,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T03326,06-11-2023,C126,M,Audience Television,Electronics,Television,East,4,818.76,527.62,0.1,2947.536,2110.48,837.056
T03164,06-03-2025,C133,M,Audience Television,Electronics,Television,East,1,818.76,527.62,0.15,695.946,527.62,168.326
T03113,23-11-2024,C158,M,Audience Television,Electronics,Television,North,1,818.76,527.62,0.1,736.884,527.62,209.264
T03106,18-02-2024,C024,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T03068,28-04-2025,C171,M,Audience Television,Electronics,Television,East,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T03063,20-10-2023,C016,M,Audience Television,Electronics,Television,East,1,818.76,527.62,0,818.76,527.62,291.14
T03048,17-10-2023,C020,F,Audience Television,Electronics,Television,East,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T02976,11-04-2025,C052,F,Audience Television,Electronics,Television,East,1,818.76,527.62,0.05,777.822,527.62,250.202
T02916,07-12-2023,C159,M,Audience Television,Electronics,Television,North,1,818.76,527.62,0.15,695.946,527.62,168.326
T02915,27-06-2024,C016,M,Audience Television,Electronics,Television,South,4,818.76,527.62,0.1,2947.536,2110.48,837.056
T02893,15-05-2025,C178,F,Audience Television,Electronics,Television,West,4,818.76,527.62,0.1,2947.536,2110.48,837.056
T02880,28-07-2025,C150,M,Audience Television,Electronics,Television,East,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T02843,10-09-2024,C186,F,Audience Television,Electronics,Television,West,3,818.76,527.62,0,2456.28,1582.86,873.42
T02818,10-05-2024,C062,M,Audience Television,Electronics,Television,West,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T02802,23-03-2025,C104,M,Audience Television,Electronics,Television,South,3,818.76,527.62,0,2456.28,1582.86,873.42
T02794,04-04-2024,C154,M,Audience Television,Electronics,Television,West,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T02763,24-01-2025,C107,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T02716,05-01-2024,C182,M,Audience Television,Electronics,Television,East,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T02613,05-05-2024,C131,M,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T02583,13-08-2025,C183,M,Audience Television,Electronics,Television,North,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T02579,13-10-2024,C146,F,Audience Television,Electronics,Television,West,5,818.76,527.62,0,4093.8,2638.1,1455.7
T02557,25-04-2025,C175,M,Audience Television,Electronics,Television,South,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T02437,22-08-2025,C171,M,Audience Television,Electronics,Television,North,3,818.76,527.62,0.1,2210.652,1582.86,627.792
T02410,09-01-2025,C069,M,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T02352,14-06-2025,C142,M,Audience Television,Electronics,Television,East,2,818.76,527.62,0,1637.52,1055.24,582.28
T02226,26-08-2024,C119,M,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T02068,14-11-2024,C030,M,Audience Television,Electronics,Television,East,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T01966,20-02-2024,C166,F,Audience Television,Electronics,Television,North,1,818.76,527.62,0.05,777.822,527.62,250.202
T01955,02-09-2024,C157,M,Audience Television,Electronics,Television,West,3,818.76,527.62,0,2456.28,1582.86,873.42
T01952,11-04-2025,C014,M,Audience Television,Electronics,Television,East,2,818.76,527.62,0,1637.52,1055.24,582.28
T01949,09-07-2024,C076,M,Audience Television,Electronics,Television,West,5,818.76,527.62,0,4093.8,2638.1,1455.7
T01929,28-06-2025,C001,M,Audience Television,Electronics,Television,South,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T01893,02-06-2024,C109,F,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T01877,14-01-2024,C193,F,Audience Television,Electronics,Television,North,2,818.76,527.62,0.1,1473.768,1055.24,418.528
T01853,25-12-2024,C169,M,Audience Television,Electronics,Television,South,2,818.76,527.62,0.05,1555.644,1055.24,500.404
T01826,19-01-2025,C038,M,Audience Television,Electronics,Television,East,3,818.76,527.62,0.05,2333.466,1582.86,750.606
T01730,22-08-2025,C179,F,Audience Television,Electronics,Television,South,5,818.76,527.62,0,4093.8,2638.1,1455.7
T01669,26-01-2025,C133,M,Audience Television,Electronics,Television,North,2,818.76,527.62,0.1,1473.768,1055.24,418.528
T01616,30-05-2025,C146,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T01591,27-10-2023,C115,M,Audience Television,Electronics,Television,South,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T01421,01-07-2024,C021,M,Audience Television,Electronics,Television,North,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T01321,08-07-2024,C013,M,Audience Television,Electronics,Television,West,3,818.76,527.62,0,2456.28,1582.86,873.42
T01305,14-05-2025,C042,F,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T01224,26-01-2024,C162,M,Audience Television,Electronics,Television,East,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T01167,03-07-2025,C066,F,Audience Television,Electronics,Television,South,1,818.76,527.62,0.05,777.822,527.62,250.202
T01148,29-09-2024,C019,F,Audience Television,Electronics,Television,South,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T01118,14-07-2024,C101,F,Audience Television,Electronics,Television,East,5,818.76,527.62,0.15,3479.73,2638.1,841.63
T01097,15-09-2024,C087,F,Audience Television,Electronics,Television,North,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T01081,26-12-2023,C186,F,Audience Television,Electronics,Television,East,3,818.76,527.62,0.15,2087.838,1582.86,504.978
T01057,25-12-2023,C106,F,Audience Television,Electronics,Television,West,4,818.76,527.62,0,3275.04,2110.48,1164.56
T01041,22-05-2025,C060,M,Audience Television,Electronics,Television,South,3,818.76,527.62,0,2456.28,1582.86,873.42
T01036,04-08-2024,C143,M,Audience Television,Electronics,Television,East,1,818.76,527.62,0.05,777.822,527.62,250.202
T01028,10-03-2025,C161,M,Audience Television,Electronics,Television,West,4,818.76,527.62,0,3275.04,2110.48,1164.56
T01006,11-12-2024,C144,F,Audience Television,Electronics,Television,East,4,818.76,527.62,0.15,2783.784,2110.48,673.304
T00982,29-07-2025,C141,F,Audience Television,Electronics,Television,North,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T00866,11-04-2025,C172,F,Audience Television,Electronics,Television,North,4,818.76,527.62,0.05,3111.288,2110.48,1000.808
T00848,01-05-2024,C097,M,Audience Television,Electronics,Television,East,3,818.76,527.62,0.15,2087.838,1582.86,504.978
T00799,04-02-2025,C047,F,Audience Television,Electronics,Television,East,1,818.76,527.62,0.15,695.946,527.62,168.326
T00733,01-09-2024,C081,F,Audience Television,Electronics,Television,South,4,818.76,527.62,0,3275.04,2110.48,1164.56
T00515,01-01-2025,C113,M,Audience Television,Electronics,Television,West,2,818.76,527.62,0.05,1555.644,1055.24,500.404
T00445,17-01-2025,C148,F,Audience Television,Electronics,Television,East,3,818.76,527.62,0.15,2087.838,1582.86,504.978
T00411,24-09-2024,C104,M,Audience Television,Electronics,Television,North,5,818.76,527.62,0.05,3889.11,2638.1,1251.01
T00332,11-03-2024,C192,M,Audience Television,Electronics,Television,North,2,818.76,527.62,0.05,1555.644,1055.24,500.404
T00326,02-10-2024,C064,F,Audience Television,Electronics,Television,West,5,818.76,527.62,0.1,3684.42,2638.1,1046.32
T00274,11-11-2023,C077,F,Audience Television,Electronics,Television,East,2,818.76,527.62,0.1,1473.768,1055.24,418.528
T00272,03-12-2024,C019,F,Audience Television,Electronics,Television,North,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T00244,09-04-2024,C135,M,Audience Television,Electronics,Television,East,5,818.76,527.62,0,4093.8,2638.1,1455.7
T00221,29-07-2025,C197,M,Audience Television,Electronics,Television,East,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T00184,23-08-2024,C111,M,Audience Television,Electronics,Television,South,3,818.76,527.62,0.15,2087.838,1582.86,504.978
T00068,15-03-2024,C039,F,Audience Television,Electronics,Television,East,3,818.76,527.62,0,2456.28,1582.86,873.42
T00003,28-03-2024,C142,M,Audience Television,Electronics,Television,East,2,818.76,527.62,0.15,1391.892,1055.24,336.652
T04930,04-05-2024,C180,F,Here Footwear,Fashion,Footwear,North,4,337.63,169.03,0,1350.52,676.12,674.4
T04923,11-02-2025,C082,M,Here Footwear,Fashion,Footwear,West,5,337.63,169.03,0.1,1519.335,845.15,674.185
T04862,29-02-2024,C178,F,Here Footwear,Fashion,Footwear,West,5,337.63,169.03,0,1688.15,845.15,843
T04812,18-11-2023,C003,F,Here Footwear,Fashion,Footwear,East,5,337.63,169.03,0.1,1519.335,845.15,674.185
T04755,11-03-2024,C011,M,Here Footwear,Fashion,Footwear,North,5,337.63,169.03,0.15,1434.9275,845.15,589.7775
T04621,15-11-2023,C028,F,Here Footwear,Fashion,Footwear,North,2,337.63,169.03,0,675.26,338.06,337.2
T04613,06-01-2024,C106,F,Here Footwear,Fashion,Footwear,North,1,337.63,169.03,0.15,286.9855,169.03,117.9555
T04602,23-03-2024,C003,F,Here Footwear,Fashion,Footwear,North,4,337.63,169.03,0.05,1282.994,676.12,606.874
T04436,15-12-2023,C127,F,Here Footwear,Fashion,Footwear,East,2,337.63,169.03,0,675.26,338.06,337.2
T04416,19-11-2023,C008,M,Here Footwear,Fashion,Footwear,East,5,337.63,169.03,0.15,1434.9275,845.15,589.7775
T04352,05-05-2024,C136,M,Here Footwear,Fashion,Footwear,East,3,337.63,169.03,0.15,860.9565,507.09,353.8665
T04344,01-04-2025,C199,F,Here Footwear,Fashion,Footwear,North,3,337.63,169.03,0.1,911.601,507.09,404.511
T04277,27-12-2024,C171,M,Here Footwear,Fashion,Footwear,South,3,337.63,169.03,0.15,860.9565,507.09,353.8665
T04238,12-01-2024,C016,M,Here Footwear,Fashion,Footwear,North,4,337.63,169.03,0.15,1147.942,676.12,471.822
T04225,30-03-2024,C012,M,Here Footwear,Fashion,Footwear,West,2,337.63,169.03,0.1,607.734,338.06,269.674
T03968,25-04-2025,C173,F,Here Footwear,Fashion,Footwear,East,1,337.63,169.03,0.05,320.7485,169.03,151.7185
T03953,14-10-2023,C186,F,Here Footwear,Fashion,Footwear,South,3,337.63,169.03,0,1012.89,507.09,505.8
T03913,03-03-2024,C091,M,Here Footwear,Fashion,Footwear,East,3,337.63,169.03,0,1012.89,507.09,505.8
T03824,03-07-2024,C076,M,Here Footwear,Fashion,Footwear,East,3,337.63,169.03,0.15,860.9565,507.09,353.8665
